AQI,PM2.5,PM10,CO,No2,So2,O3
105,78,56,20,73,0.92,60
106,79,32,18,51,0.75,91
83,60,75,20,71,0.85,40
98,66,92,15,52,0.89,41
49,28,51,13,42,0.59,58
79,58,77,15,47,0.94,62
82,47,86,14,31,0.72,66
51,26,51,11,28,0.6,74
78,56,39,11,36,0.92,37
135,101,68,18,43,1.14,49
95,70,79,21,58,1.14,66
146,111,93,23,79,1.32,63
152,116,74,26,66,1.15,86
92,67,38,16,49,0.98,69
71,47,52,16,43,0.78,90
90,65,90,18,82,1.23,18
138,104,131,28,83,1.65,19
185,140,150,21,87,1.72,26
102,76,107,20,94,1.42,12
39,25,26,10,48,0.88,57
43,25,37,11,50,0.9,33
39,20,16,11,43,1,32
116,87,83,14,43,1.67,19
125,94,85,25,42,1.28,43
141,107,111,26,51,1.36,48
68,49,57,18,44,0.84,55
83,60,47,19,54,0.96,27
126,95,108,31,59,1.22,39
68,45,58,19,37,0.91,59
35,18,28,13,29,0.5,60
40,27,33,12,40,0.56,49
78,57,65,16,71,0.88,24
62,44,36,11,58,0.76,33
122,92,86,18,60,1.04,39
84,46,88,19,34,0.68,59
57,41,53,16,46,0.71,52
90,66,83,24,56,1.02,41
48,32,43,16,42,0.64,57
48,34,41,16,45,0.61,53
102,76,80,18,50,0.85,64
97,72,46,14,37,0.85,71
98,61,82,12,27,0.79,60
68,36,82,12,21,0.7,78
85,62,76,13,28,0.99,52
50,30,39,9,12,0.59,66
37,17,24,12,17,0.51,71
146,110,141,32,71,1.41,49
68,45,68,19,66,0.94,48
56,35,61,17,69,0.86,40
107,79,121,28,78,1.4,47
144,107,154,27,76,1.53,55
76,54,76,19,43,1.01,54
150,113,148,32,89,1.52,39
193,146,189,35,117,1.8,41
127,95,116,25,66,1.23,54
37,21,35,16,48,0.65,45
45,23,42,16,46,0.68,50
80,56,101,25,72,1.09,36
103,76,103,21,58,1.66,27
47,30,44,15,27,0.73,56
99,74,84,27,49,1.06,48
207,157,170,39,83,1.65,34
166,127,108,29,77,1.23,38
74,52,87,25,73,1.11,29
145,110,154,35,114,1.8,16
80,58,51,16,63,0.97,25
37,23,33,12,46,1.01,24
121,90,73,15,40,1.57,49
164,124,138,27,64,1.55,33
66,42,58,19,53,0.81,35
35,22,30,12,61,0.74,20
36,24,21,12,49,0.99,21
60,40,34,15,32,0.83,45
70,50,66,22,54,0.85,35
130,98,103,26,63,1.08,40
95,68,80,20,74,1.05,29
117,87,123,24,98,1.39,22
35,14,29,12,32,0.59,57
52,32,56,18,64,0.8,33
92,68,102,20,80,1.24,45
123,92,123,26,97,1.22,45
95,64,116,23,82,1.28,37
111,81,124,20,95,1.53,43
56,33,54,11,60,0.85,34
44,22,42,12,25,0.71,61
46,26,43,19,40,0.7,40
62,44,63,16,47,1,27
63,40,71,17,57,0.91,31
72,42,89,20,67,0.94,39
101,74,127,21,99,1.34,22
126,95,149,28,89,1.62,35
56,20,54,12,42,0.63,65
49,18,50,13,64,0.67,28
42,23,34,10,78,0.81,16
62,43,66,14,69,1.19,21
90,65,118,19,80,1.78,21
49,31,35,12,49,1.3,28
54,31,56,14,60,1.12,25
32,17,23,11,27,0.74,54
50,34,25,12,37,0.84,31
91,66,72,29,54,1.15,33
104,78,93,31,75,1.22,16
73,52,42,14,55,1.15,27
123,92,113,36,71,1.39,36
124,90,141,35,70,1.32,40
50,28,53,19,68,0.82,20
81,57,77,20,61,1.06,33
68,47,77,14,59,1.46,29
66,44,70,16,44,1.31,52
35,19,32,13,33,1.14,46
49,24,47,19,35,0.92,59
58,35,64,17,38,1,70
56,27,51,11,29,0.8,93
37,19,36,11,46,0.83,39
41,21,35,13,33,0.97,71
45,21,45,17,39,0.8,56
46,21,46,16,46,0.76,47
42,17,38,14,42,0.66,57
47,27,48,16,46,0.75,59
53,29,51,13,48,0.73,50
43,20,43,12,60,0.83,29
52,21,56,12,58,0.86,28
74,49,82,20,56,1.13,37
56,36,53,16,37,1.09,61
42,20,42,14,46,0.93,60
47,30,45,11,63,1.07,29
35,21,33,10,63,0.97,20
23,10,15,7,38,0.81,38
20,6,10,7,29,0.77,36
43,22,38,13,32,0.9,55
49,25,48,14,42,0.93,55
57,37,59,17,54,1.33,15
39,21,30,10,58,1.15,22
39,19,32,9,53,0.86,38
40,25,36,11,40,0.9,38
47,28,40,16,41,0.92,36
55,28,54,18,50,0.87,33
42,27,39,13,53,0.78,34
91,53,95,15,38,0.99,129
102,63,107,16,37,1.15,138
112,54,100,15,52,1.01,125
93,50,91,14,43,1.03,106
67,35,71,15,50,1.05,91
70,49,80,16,80,1.17,42
49,30,42,8,56,0.99,54
73,44,79,11,64,1.12,84
106,47,82,15,63,1.08,118
65,42,76,13,49,1,94
57,35,58,13,63,0.96,46
66,38,61,9,54,0.93,72
71,40,62,12,52,0.98,82
40,24,35,8,50,0.82,57
25,10,17,7,33,0.8,43
21,9,17,8,24,0.79,32
32,14,30,11,30,0.85,50
69,45,73,18,35,1.3,64
50,24,51,13,34,0.85,72
51,25,53,18,44,0.88,73
55,29,58,21,67,1.04,38
52,22,48,15,64,0.81,62
54,26,52,15,58,0.8,75
69,32,57,12,41,0.81,103
80,33,62,13,41,0.85,117
54,28,57,14,46,0.84,68
48,20,48,12,38,0.75,23
25,12,21,8,23,0.75,42
30,13,25,9,31,0.84,54
43,25,43,12,49,1.32,20
44,16,45,11,20,0.6,49
43,14,43,10,28,0.63,56
36,15,34,7,39,0.69,39
54,30,50,10,42,0.91,72
52,24,46,19,35,0.78,61
44,24,34,9,28,0.6,59
33,10,29,7,22,0.54,51
34,9,32,8,26,0.51,46
35,10,34,8,27,0.59,30
29,11,27,7,23,0.59,37
40,16,37,8,23,0.61,53
35,13,31,8,22,0.59,47
33,13,30,7,19,0.59,47
53,21,44,10,20,0.62,78
54,16,40,10,24,0.66,83
57,21,43,11,27,0.72,75
62,21,47,11,32,0.71,81
52,20,43,10,25,0.71,79
59,23,53,11,35,0.83,85
79,38,72,16,40,1.11,96
94,60,94,27,49,1.57,88
53,20,43,10,32,0.76,80
62,22,40,11,27,0.69,104
76,20,44,12,34,0.68,116
76,26,55,10,37,0.76,98
48,24,49,13,27,0.88,72
56,20,51,16,32,0.84,96
81,29,63,18,32,0.91,133
71,30,57,20,46,0.95,100
65,27,64,16,42,0.9,98
85,35,79,15,48,0.94,118
44,24,42,13,36,0.73,39
32,17,26,10,56,0.97,28
33,19,30,9,41,0.71,35
71,37,70,14,46,0.85,75
43,20,42,10,39,0.62,53
56,28,55,12,50,0.7,56
41,16,40,14,33,0.6,24
32,13,31,12,27,0.61,28
36,14,35,11,30,0.63,24
37,18,36,10,29,0.59,29
43,24,43,9,28,0.7,50
62,39,66,13,33,0.83,71
63,41,72,11,35,0.8,70
48,31,48,8,41,0.91,37
58,30,54,10,34,0.78,66
56,25,40,8,20,0.81,98
87,47,75,15,29,0.85,121
65,25,45,9,24,0.67,104
69,28,57,13,30,0.67,105
71,27,56,14,32,0.66,97
65,26,57,16,33,0.65,93
65,30,61,15,33,0.71,98
68,35,67,15,32,0.71,101
89,39,76,14,33,0.79,117
77,28,55,10,26,0.66,108
86,43,82,11,29,0.79,118
78,48,92,13,41,0.88,95
82,52,94,13,34,0.8,125
95,52,97,13,48,0.88,129
68,35,57,8,25,0.72,95
34,15,30,8,19,0.57,53
51,24,35,6,35,0.76,81
65,38,67,12,45,0.66,80
42,18,27,6,46,0.72,64
43,22,37,9,29,0.75,73
61,26,45,13,29,0.69,99
71,35,63,9,33,0.6,110
67,46,75,9,40,0.74,80
55,34,60,8,48,0.77,48
49,30,48,8,41,0.79,48
54,26,48,8,22,0.61,90
64,39,74,12,49,0.78,55
41,20,28,6,40,0.65,66
77,32,61,18,42,0.75,103
85,32,61,16,34,0.73,117
79,54,95,19,53,1.1,74
103,66,96,16,34,1.22,120
92,43,83,16,38,0.91,108
70,28,59,17,34,0.85,88
41,17,36,13,28,0.73,45
22,9,17,7,27,0.66,35
80,48,97,16,62,1.06,78
48,29,47,10,44,0.84,38
68,45,82,14,53,1.04,69
60,39,64,15,36,0.99,60
44,29,39,11,34,0.8,80
58,20,33,10,29,0.65,91
41,20,30,9,41,0.89,46
32,19,30,10,55,1.14,14
36,18,35,13,45,0.74,28
56,24,55,17,40,0.7,75
93,47,86,17,42,0.82,116
61,40,64,13,40,0.93,63
70,26,79,9,25,0.64,101
